log_id,full_log,data.protocol,data.url,decoder.name,rule.description,rule.groups,rule.id,rule.level
1484,"10.42.0.234 - - [12/May/2026:15:32:55 +0000] ""GET /rest/products HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
326,"10.42.2.77 - - [13/May/2026:08:17:25 +0000] ""POST /server-status HTTP/1.1"" 403 162 ""https://juice-shop.vtsolutions.it/"" ""Nikto/2.5.0""",GET,/server-status,web-accesslog,Multiple web server 400 error codes from same source ip.,"[""web"",""accesslog"",""web_scan"",""recon""]",31166,10
685,"10.42.1.207 - - [12/May/2026:15:32:35 +0000] ""POST /?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1478,"10.42.2.150 - - [12/May/2026:15:34:37 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
764,"10.42.1.207 - - [12/May/2026:16:09:06 +0000] ""GET /rest/user/.env HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/user/.env,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1083,"10.42.0.234 - - [12/May/2026:16:20:20 +0000] ""GET /rest/admin HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/admin,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1140,"10.42.2.77 - - [12/May/2026:16:59:06 +0000] ""GET /rest/products/search?q=%27%20AND%201%3DCONVERT%28int%2C%28SELECT%20%40%40version%29%29--%20 HTTP/1.1"" 500 149 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products/search?q=%27%20AND%201%3DCONVERT%28int%2C%28SELECT%20%40%40version%29%29--%20,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
422,"10.42.2.150 - - [12/May/2026:15:32:37 +0000] ""POST /application/build/routes/assets/public/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/application/build/routes/assets/public/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
155,"10.42.2.150 - - [12/May/2026:15:34:14 +0000] ""GET /rest/admin HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/admin,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1227,"10.42.1.207 - - [12/May/2026:16:18:37 +0000] ""GET /rest/user.~bk HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/rest/user.~bk,web-accesslog,Multiple web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31162,10
